State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,13/11/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,06/11/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,25/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,14/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,03/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,01/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,16/12/2025,3000,3200,3100,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,30/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,30/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),1001,FAQ,22/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,20/11/2025,2320,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,19/11/2025,2320,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,06/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,08/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,15/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,28/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,27/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,29/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,24/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,09/11/2025,2340,2340,2340,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,17/11/2025,2320,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,04/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,05/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,17/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,18/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,19/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,26/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,31/12/2025,2330,2350,2340,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,01/01/2026,3200,3220,3210,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,01/11/2025,2340,2360,2350,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,04/11/2025,2340,2360,2350,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,10/11/2025,2340,2340,2340,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,03/11/2025,2340,2360,2350,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,05/11/2025,2340,2360,2350,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,21/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,27/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,28/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,22/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,25/12/2025,2330,2350,2340,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,12/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,20/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,15/11/2025,2320,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,18/11/2025,2310,2320,2310,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,26/11/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,11/11/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,12/11/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,FAQ,02/11/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,02/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,09/12/2025,2320,2340,2330,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,11/12/2025,2310,2330,2320,2
Kerala,Wayanad,Pulpally APMC,Paddy(Common),Other,Local,23/12/2025,2320,2340,2330,2
