Banana,,,,,,
,2020,2021,2022,2023,2024,2025
Month,,,,,,
January,2126.19047619048,1703.57142857143,2990,3886.84210526316,2510.65573770492,3944.27083333333
February,1528.94736842105,1988.33333333333,3158.75,3594.11764705882,2613.93442622951,3501.06382978723
March,1742.1052631579,2120.3488372093,3631.39534883721,2777.94117647059,2846.98795180723,3924.29906542056
April,2048.64864864865,2891.02564102564,4255.31914893617,2983.33333333333,2578.1914893617,4002.54237288136
May,2369.23076923077,2130,3844.89795918367,2768.51851851852,3248.33333333333,3123.95209580838
June,2308.88888888889,2137.5,4501.06382978723,3180.71428571429,3326.06382978723,3107.77202072539
July,2033.33333333333,2609.09090909091,3655.76923076923,3527.58620689655,3697.32142857143,2710.7421875
August,2922.36842105263,2273.21428571429,3714.58333333333,3300,3818.34862385321,2727.4
September,2787.5,1686.70212765957,3655.31914893617,2898.75,2790.65934065934,2185.29411764706
October,2460.86956521739,1696.34146341463,3526.5306122449,2202.5,3121.68674698795,2295.97701149425
November,1982.8125,2057.31707317073,3139.13043478261,2472.09302325581,3310.61643835617,3262
December,1998.52941176471,2504.34782608696,3616.34615384615,2342.5,4394.73684210526,3001.72413793103
,,,,,,
Ginger,,,,,,
,2020,2021,2022,2023,2024,2025
Month,,,,,,
January,3888,1680.95238095238,1303.65853658537,4182.92682926829,7220.17543859649,2493.66666666667
February,3636,1735,1440,5053.125,6777.5,2493.26923076923
March,3473.91304347826,1585.18518518519,1833.53658536585,5373.33333333333,7803.125,2515
April,3416.66666666667,1700,1756.89655172414,7573.33333333333,8490.24390243902,2488.83333333333
May,3451.66666666667,1651.78571428571,1731.66666666667,9311.11111111111,8834.32835820896,2270.44117647059
June,4504.34782608696,2136.20689655172,1780.76923076923,7833.33333333333,8865.51724137931,2398.88888888889
July,4296.2962962963,2520.68965517241,2153.57142857143,8700,8509.43396226415,2526.39705882353
August,4872.91666666667,2116.66666666667,2242.59259259259,8646.42857142857,7798.57142857143,3725
September,4587.03703703704,2354.6875,2262.96296296296,10769.387755102,7756.3829787234,3597.79661016949
October,2693.10344827586,2125,2100,6479.76744186047,8302.07547169811,4078.06451612903
November,2385,1543.10344827586,2206.25,6709.3023255814,5548.95833333333,2752.47826086957
December,2164.47368421053,1279.76190476191,2394.44444444444,6702.63157894737,4146.8253968254,2570
,,,,,,
Pumpkin,,,,,,
,2020,2021,2022,2023,2024,2025
Month,,,,,,
January,1000,1009.78260869565,1472.53521126761,1363.5593220339,1212.5,1211.47540983607
February,967.045454545455,1019.76744186047,1190.69767441861,1363.39285714286,1267.23404255319,1125.86206896552
March,957.142857142857,951.960784313726,1248.03921568627,1399.54545454546,1407.8431372549,1143.47826086957
April,958.333333333333,971,1219.71830985916,1546.07142857143,1363.15789473684,1115
May,964.864864864865,898.611111111111,1280,1291.2962962963,1478.20512820513,1065.625
June,945.238095238095,976.595744680851,1433.08823529412,1587.34848484849,1470.58823529412,1079.24528301887
July,963.095238095238,1033.69565217391,1412.5,1530.50847457627,1505.71428571429,1069.84126984127
August,1043.24324324324,1068.47826086957,1373.48484848485,1223.77049180328,1495.3125,1088.52459016393
September,1103.33333333333,1040.90909090909,1643.38235294118,1233.92857142857,1414.0625,1125.45454545455
October,1146.9387755102,1061.95652173913,1603.90625,1189.68253968254,1370.83333333333,1129.50819672131
November,1055,1205.10204081633,1587.31343283582,1211.36363636364,1356.71641791045,1075
December,1038,1334.67741935484,1223.77049180328,1214.33333333333,1301.49253731343,1119.04761904762
,,,,,,
Tapioca,,,,,,
,2020,2021,2022,2023,2024,
Month,,,,,,
January,,1250,1911.90476190476,8183.33333333333,2600,
February,,1325,2570,,,
March,,1200,2390,17800,,
April,,1116.66666666667,2309.09090909091,3650,,
May,1650,950,2173.91304347826,6202.5,,
June,,1283.33333333333,2497.72727272727,6309.28571428572,,
July,,1450,3947.82608695652,20848,,
August,,1283.33333333333,3218.18181818182,,,
September,,1044.44444444444,2616.66666666667,,,
October,,995.454545454546,2570,5660,,
November,1300,1483.33333333333,3117.78260869565,,,
December,1750,1406.25,3235.71428571429,3550,,
