State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,04/07/2024,10400,10500,10500,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,06/07/2024,10500,10600,10600,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,19/07/2024,9800,9900,9900,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,27/07/2024,9600,9700,9700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,02/08/2024,9500,9600,9600,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,06/08/2024,9600,9700,9700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,08/08/2024,9600,9700,9700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,09/08/2024,9600,9700,9700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,13/08/2024,9200,9300,9300,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,14/08/2024,8900,9000,9000,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,16/08/2024,8700,8800,8800,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,17/08/2024,8600,8700,8700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,21/08/2024,8300,8400,8400,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,27/08/2024,8200,8300,8300,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,13/06/2024,10800,10900,10900,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,14/06/2024,10600,10700,10700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,15/06/2024,10500,10600,10600,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,25/06/2024,10500,10600,10600,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,28/06/2024,10600,10700,10700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,06/01/2020,6400,6500,6500,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,14/01/2020,3700,3800,3800,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,17/01/2020,3700,3800,3800,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,20/01/2020,3700,3800,3800,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,24/01/2020,3800,3900,3900,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,17/02/2020,3900,4000,4000,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,19/02/2020,3900,4000,4000,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,12/03/2020,3400,3500,3500,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,16/03/2020,3300,3400,3400,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,02/04/2020,3200,3300,3300,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,07/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,09/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,11/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,17/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,22/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,30/04/2020,3100,3200,3200,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,04/05/2020,3200,3300,3300,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,16/05/2020,3400,3500,3500,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,03/06/2020,3000,3100,3100,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,09/06/2020,3400,3500,3500,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,16/06/2020,4600,4700,4700,103
Kerala,Wayanad,Kalpetta,Ginger(Green),Green Ginger,FAQ,18/06/2020,4900,5000,5000,103
