State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,05/01/2018,30000,40000,40000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,16/01/2018,40000,40300,40300,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,24/01/2018,40000,41000,41000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,31/01/2018,41000,42000,42000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,19/02/2018,38000,39000,39000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,14/03/2018,36000,36500,36500,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,17/03/2018,36000,37000,37000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,20/03/2018,36000,37000,37000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,13/04/2018,34000,35000,35000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,28/04/2018,34000,35000,35000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,26/05/2018,34000,35000,35000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,19/01/2017,65000,66000,66000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,27/01/2017,65000,66000,66000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,03/03/2017,59000,59500,59500,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,04/03/2017,59000,60000,60000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,16/03/2017,59000,60000,60000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,31/08/2017,47000,48000,48000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,04/10/2017,46000,47000,47000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,07/10/2017,39000,40000,40000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,13/10/2017,38000,39000,39000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,21/10/2017,40000,48000,48000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,14/11/2017,38000,39000,39000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,21/11/2017,37000,38000,38000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,27/11/2017,37000,38000,38000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,08/12/2017,36000,37000,37000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,14/12/2017,40000,40100,40100,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,15/12/2017,40000,40200,40200,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,20/04/2016,67000,68000,68000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,06/05/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,24/05/2016,69000,70000,70000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,18/06/2016,69000,69500,69500,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,22/06/2016,70000,71000,71000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,29/06/2016,70000,71000,71000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,30/06/2016,69500,70000,70000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,01/07/2016,70000,71000,71000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,11/07/2016,59000,60000,60000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,03/08/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,04/08/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,16/08/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,01/09/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,07/09/2016,69000,70000,70000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,08/09/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,09/09/2016,68000,69000,69000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,14/11/2016,59000,60000,60000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,21/11/2016,60000,62000,62000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,30/11/2016,64000,65000,65000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,27/12/2016,63000,64000,64000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,11/01/2016,66000,66700,66700,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,25/01/2016,60000,61000,61000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,29/01/2016,62000,63000,63000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,04/02/2016,62000,63000,63000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,03/03/2016,62000,64000,64000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,08/03/2016,62000,63000,63000,110
Kerala,Wayanad,Manathavady,Pepper ungarbled,Other,FAQ,21/03/2016,62500,63500,63500,110
