State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/10/2021,800,900,850,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,16/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,25/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,03/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,04/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,15/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,16/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,20/11/2021,1600,1700,1650,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,23/11/2021,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,25/11/2021,1700,1800,1750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,02/12/2021,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,09/12/2021,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,10/12/2021,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,20/12/2021,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/01/2022,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,03/01/2022,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,07/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,10/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,18/01/2022,1700,1800,1750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,19/01/2022,1700,1800,1750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,03/02/2022,1600,1700,1650,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,04/04/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,13/04/2022,2400,2500,2450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,18/04/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,22/04/2022,2200,2300,2250,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,28/04/2022,2300,2400,2350,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,29/04/2022,2300,2400,2350,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,30/04/2022,2300,2400,2350,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,04/05/2022,2300,2400,2350,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,05/05/2022,2300,2400,2350,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,14/05/2022,2100,2200,2150,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,17/05/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,19/05/2022,2100,2200,2150,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,07/06/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,09/06/2022,2100,2200,2150,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,24/06/2022,2700,2800,2750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,29/06/2022,2700,2800,2750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,27/07/2022,4900,5000,4950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,30/07/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/08/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,22/08/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,23/08/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,30/08/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,04/11/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,05/11/2022,3500,3600,3550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,08/11/2022,3500,3600,3550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,16/11/2022,3500,3600,3550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,30/11/2022,3400,3500,3450,100
Kerala,Wayanad,Manathavady,Tapioca,Tapioca,FAQ,21/12/2022,4500,4600,4550,100
Kerala,Wayanad,Manathavady,Tapioca,Tapioca,FAQ,21/05/2023,7250,7350,7300,100
Kerala,Wayanad,Manathavady,Tapioca,Tapioca,FAQ,12/06/2023,3900,4000,3950,100
Kerala,Wayanad,Manathavady,Tapioca,Tapioca,FAQ,23/06/2023,5500,5600,5550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,09/09/2021,800,1000,900,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,25/09/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,28/09/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,04/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,07/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,08/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,22/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,30/10/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,05/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,13/11/2021,900,1000,950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,17/11/2021,1600,1700,1650,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/12/2021,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,21/12/2021,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,22/12/2021,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,24/12/2021,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,28/12/2021,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Tapioca,FAQ,18/02/2021,1100,1300,1200,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,06/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,11/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,12/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,15/01/2022,1400,1500,1450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,22/01/2022,1700,1800,1750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,26/01/2022,1500,1600,1550,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,29/01/2022,1700,1800,1750,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,01/02/2022,1600,1700,1650,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,06/04/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,09/04/2022,2400,2500,2450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,11/04/2022,2400,2500,2450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,14/04/2022,2400,2500,2450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,16/04/2022,2400,2500,2450,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,20/04/2022,1900,2000,1950,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,23/04/2022,2200,2300,2250,100
Kerala,Wayanad,Manathavady,Tapioca,Other,FAQ,26/04/2022,2200,2300,2250,100
