State,District,Soil_Type,Temperature,Humidity,Rainfall,pH,N,P,K,Crop
Kerala,Kottayam,Alluvial,27.73,92.83,1271.58,6.21,98,44,57,Paddy
Kerala,Kottayam,Alluvial,26.09,80.17,1656.34,6.43,92,43,56,Paddy
Kerala,Thrissur,Alluvial,27.79,92.18,1824.5,5.9,88,49,45,Paddy
Kerala,Alappuzha,Laterite,25.17,85.44,1210.76,5.97,100,42,58,Paddy
Kerala,Thrissur,Laterite,25.19,93.66,1843.43,5.67,111,45,40,Paddy
Kerala,Alappuzha,Laterite,29.44,76.9,1294.51,6.46,114,43,57,Paddy
Kerala,Thrissur,Laterite,31.44,87.65,1917.92,6.29,118,55,50,Paddy
Kerala,Kottayam,Laterite,28.45,80.72,1121.23,6.13,91,47,42,Paddy
Kerala,Thrissur,Alluvial,29.26,89.64,1015.71,6.05,115,56,43,Paddy
Kerala,Alappuzha,Laterite,29.0,77.44,1454.76,5.8,84,56,43,Paddy
Kerala,Alappuzha,Alluvial,27.69,91.54,1927.51,5.66,110,59,46,Paddy
Kerala,Kottayam,Alluvial,27.31,74.54,1285.45,5.83,113,54,56,Paddy
Kerala,Kottayam,Laterite,29.22,73.16,1118.6,6.02,100,44,46,Paddy
Kerala,Kottayam,Laterite,30.84,88.54,1398.93,6.06,91,54,57,Paddy
Kerala,Thrissur,Laterite,29.86,71.66,1766.35,6.34,109,53,45,Paddy
Kerala,Malappuram,Sandy,31.85,82.03,1219.21,6.28,75,65,133,Coconut
Kerala,Malappuram,Sandy,24.17,73.86,1482.96,5.75,66,85,126,Coconut
Kerala,Kozhikode,Loamy,30.94,82.46,1377.61,6.33,69,73,113,Coconut
Kerala,Kozhikode,Sandy,26.74,70.99,1360.18,6.93,76,67,124,Coconut
Kerala,Kozhikode,Sandy,27.4,81.1,1394.7,6.52,56,78,119,Coconut
Kerala,Kozhikode,Sandy,28.36,81.97,1051.41,5.8,51,81,138,Coconut
Kerala,Malappuram,Loamy,24.2,86.71,1280.19,5.5,79,79,116,Coconut
Kerala,Kollam,Sandy,26.98,86.94,1419.64,5.1,76,87,128,Coconut
Kerala,Malappuram,Sandy,24.61,89.23,1067.48,5.37,51,86,123,Coconut
Kerala,Kollam,Sandy,26.09,72.73,1241.71,5.16,50,64,125,Coconut
Kerala,Kozhikode,Sandy,26.13,76.99,1396.22,5.93,77,73,100,Coconut
Kerala,Malappuram,Sandy,27.2,72.65,1396.41,6.18,77,77,125,Coconut
Kerala,Kollam,Loamy,24.16,70.87,1228.09,6.69,65,87,116,Coconut
Kerala,Kozhikode,Sandy,25.9,94.32,1036.44,5.1,59,72,137,Coconut
Kerala,Malappuram,Sandy,28.39,87.46,1472.34,6.34,69,83,134,Coconut
Kerala,Thrissur,Loamy,27.13,89.06,1854.72,6.61,128,42,113,Banana
Kerala,Palakkad,Loamy,29.79,78.97,2078.95,6.32,102,49,104,Banana
Kerala,Thrissur,Loamy,26.33,87.77,1975.57,7.04,140,55,117,Banana
Kerala,Thrissur,Loamy,28.8,79.38,2424.47,6.22,138,60,145,Banana
Kerala,Palakkad,Loamy,28.24,76.37,1740.26,6.8,129,57,103,Banana
Kerala,Palakkad,Loamy,28.46,77.8,2397.27,7.43,128,79,124,Banana
Kerala,Thrissur,Loamy,26.19,92.7,1699.74,6.75,141,64,137,Banana
Kerala,Thrissur,Loamy,27.58,84.79,1992.25,6.06,106,75,129,Banana
Kerala,Palakkad,Loamy,26.17,73.86,2327.76,6.41,115,43,107,Banana
Kerala,Thrissur,Loamy,29.96,88.05,2159.77,7.03,113,77,129,Banana
Kerala,Palakkad,Loamy,28.33,71.79,2084.61,6.91,149,53,131,Banana
Kerala,Palakkad,Loamy,29.11,75.47,2475.18,6.3,143,74,136,Banana
Kerala,Palakkad,Loamy,29.51,74.47,2276.49,7.22,148,77,149,Banana
Kerala,Palakkad,Loamy,27.8,80.64,1577.72,6.26,103,67,100,Banana
Kerala,Thrissur,Loamy,26.28,76.56,1944.75,7.36,126,42,131,Banana
Kerala,Wayanad,Laterite,26.28,84.79,1902.73,5.78,66,32,81,Pepper
Kerala,Wayanad,Laterite,24.98,90.98,1618.72,5.78,81,46,69,Pepper
Kerala,Wayanad,Laterite,25.47,83.32,1449.03,6.33,60,34,70,Pepper
Kerala,Wayanad,Laterite,26.65,85.69,1961.06,6.38,63,44,65,Pepper
Kerala,Wayanad,Laterite,26.5,94.77,1751.18,6.21,72,40,61,Pepper
Kerala,Idukki,Laterite,27.29,87.1,1672.55,6.07,70,30,65,Pepper
Kerala,Idukki,Laterite,25.69,72.26,1833.21,6.29,79,42,63,Pepper
Kerala,Idukki,Laterite,24.2,90.22,1404.68,6.0,74,32,88,Pepper
Kerala,Idukki,Laterite,26.54,81.0,1283.77,6.22,84,37,89,Pepper
Kerala,Wayanad,Laterite,23.06,74.03,1822.59,6.19,72,47,89,Pepper
Kerala,Idukki,Laterite,27.88,94.82,1821.44,5.7,86,35,70,Pepper
Kerala,Wayanad,Laterite,26.68,80.71,1885.55,6.14,65,42,78,Pepper
Kerala,Idukki,Laterite,24.59,78.33,1625.5,6.11,78,44,86,Pepper
Kerala,Idukki,Laterite,23.59,87.62,1344.74,6.43,78,35,69,Pepper
Kerala,Wayanad,Laterite,26.4,89.93,1789.01,6.38,75,45,72,Pepper
Kerala,Kottayam,Laterite,29.6,83.68,2594.51,4.92,84,41,72,Rubber
